country,year_month,num_events,total_fatalities,battles,protests,violence_civilians
Mexico,2024-01-01,957,601,108,366,372
Mexico,2024-02-01,1175,633,106,565,411
Mexico,2024-03-01,1060,627,83,437,415
Mexico,2024-04-01,1085,656,101,389,505
Mexico,2024-05-01,1360,696,106,607,509
Mexico,2024-06-01,1276,753,102,441,548
Mexico,2024-07-01,1229,733,133,424,536
Mexico,2024-08-01,1352,671,105,609,489
Mexico,2024-09-01,1332,745,140,591,470
Mexico,2024-10-01,1473,866,156,555,579
Mexico,2024-11-01,1302,762,129,455,516
Mexico,2024-12-01,1045,610,128,336,432
Myanmar,2024-01-01,1705,1875,506,116,138
Myanmar,2024-02-01,1552,1583,421,155,149
Myanmar,2024-03-01,1656,2037,493,114,176
Myanmar,2024-04-01,1473,1758,454,76,161
Myanmar,2024-05-01,1320,1712,423,74,145
Myanmar,2024-06-01,1280,1803,441,97,116
Myanmar,2024-07-01,1426,2308,545,84,133
Myanmar,2024-08-01,1395,2203,475,101,132
Myanmar,2024-09-01,1180,1607,319,107,126
Myanmar,2024-10-01,1307,1017,359,102,136
Myanmar,2024-11-01,1475,1421,454,90,154
Myanmar,2024-12-01,1368,1142,374,91,232
Sudan,2024-01-01,791,980,231,11,85
Sudan,2024-02-01,637,992,201,5,186
Sudan,2024-03-01,533,853,154,6,127
Sudan,2024-04-01,603,915,168,6,182
Sudan,2024-05-01,502,1013,124,8,156
Sudan,2024-06-01,503,1585,143,4,96
Sudan,2024-07-01,489,1008,165,1,114
Sudan,2024-08-01,620,1009,105,11,141
Sudan,2024-09-01,710,1840,186,5,134
Sudan,2024-10-01,897,3688,204,4,293
Sudan,2024-11-01,700,1840,115,2,198
Sudan,2024-12-01,706,2576,166,9,153
Ukraine,2024-01-01,4476,3580,1025,29,6
Ukraine,2024-02-01,4225,3887,879,46,13
Ukraine,2024-03-01,4909,4453,921,46,8
Ukraine,2024-04-01,4122,3039,1040,20,4
Ukraine,2024-05-01,4318,8592,1538,35,16
Ukraine,2024-06-01,3885,9177,1424,33,10
Ukraine,2024-07-01,4329,5941,1586,31,7
Ukraine,2024-08-01,5033,5073,1576,20,4
Ukraine,2024-09-01,5337,5495,1635,19,5
Ukraine,2024-10-01,5545,7076,1897,20,10
Ukraine,2024-11-01,4944,8541,1820,18,12
Ukraine,2024-12-01,4875,8719,2055,23,4
Yemen,2024-01-01,678,219,85,413,32
Yemen,2024-02-01,922,248,204,518,35
Yemen,2024-03-01,940,273,156,622,51
Yemen,2024-04-01,659,315,157,346,54
Yemen,2024-05-01,1154,231,153,826,54
Yemen,2024-06-01,727,224,197,367,65
Yemen,2024-07-01,1488,179,219,1089,67
Yemen,2024-08-01,1389,174,157,1061,69
Yemen,2024-09-01,803,357,196,385,139
Yemen,2024-10-01,1160,234,190,789,65
Yemen,2024-11-01,1181,179,206,818,47
Yemen,2024-12-01,1401,402,206,944,71
